"","carat","cut","color","clarity","depth","table","price","x","y","z"
"25422",1.51,"VeryGood","F","VS2",62.8,56,14165,7.27,7.32,4.58
"22643",1.66,"Ideal","I","VS1",61,55,10691,7.67,7.64,4.67
"10400",0.31,"VeryGood","G","SI1",63.2,54,593,4.33,4.31,2.73
"43504",0.43,"Ideal","F","VVS1",62.3,55,1422,4.88,4.85,3.03
"38670",0.7,"Premium","F","I1",63,61,1040,5.69,5.55,3.54
"193",0.7,"Premium","E","VS2",61.1,60,2777,5.71,5.64,3.47
"48907",0.62,"VeryGood","F","VS2",59.8,58,2041,5.55,5.59,3.33
"20084",1.13,"VeryGood","D","VS2",62.9,58,8561,6.59,6.63,4.16
"48221",0.57,"Ideal","G","VS1",62.1,56,1949,5.33,5.3,3.3
"498",0.7,"Premium","D","SI1",60.2,60,2822,5.82,5.75,3.48
"11015",1.01,"VeryGood","G","SI1",60.6,57,4916,6.49,6.52,3.94
"23556",1.51,"Premium","E","SI1",62.6,55,11565,7.33,7.25,4.56
"6748",0.33,"VeryGood","E","SI1",60.3,60,579,4.47,4.49,2.7
"19466",1.5,"Good","D","SI2",63.4,59,8108,7.2,7.25,4.58
"46973",0.38,"Good","I","SI1",63.7,57,529,4.63,4.57,2.93
"89",0.24,"Premium","H","VVS2",60.7,58,554,4.07,4.04,2.46
"8876",1.04,"VeryGood","H","SI1",58.9,63,4484,6.59,6.55,3.87
"39542",0.4,"Premium","F","VS2",61,59,1080,4.76,4.71,2.89
"40602",0.23,"VeryGood","F","VVS2",61.7,55,498,3.99,4.05,2.48
"43884",0.46,"Ideal","G","VVS1",60.7,57,1453,4.98,5.03,3.04
"21740",1.07,"VeryGood","F","VVS1",60.2,58,9808,6.57,6.65,3.98
"27804",0.37,"Premium","G","VS2",61.2,60,649,4.58,4.63,2.82
"12842",1.21,"Premium","I","SI1",61.6,58,5353,6.89,6.84,4.23
"45421",0.55,"Premium","E","SI1",61.2,59,1668,5.28,5.25,3.22
"47635",0.51,"Ideal","D","VS2",61.6,56,1882,5.17,5.15,3.18
"45700",0.58,"Ideal","E","VS2",60.9,59,1698,5.36,5.44,3.29
"18297",1.54,"VeryGood","I","SI2",63.3,60,7437,7.34,7.31,4.64
"17639",1.36,"Premium","I","VS2",61.9,56,7104,7.17,7.08,4.41
"33260",0.37,"Good","D","VS1",62.1,54,825,4.67,4.73,2.92
"41277",0.35,"Ideal","G","SI1",61.8,55,503,4.54,4.56,2.81
"22443",1.35,"Ideal","G","VS1",60.9,54,10471,7.18,7.15,4.36
"47052",0.68,"VeryGood","E","SI2",63.1,54.5,1821,5.61,5.64,3.55
"46052",0.54,"Ideal","E","VS1",62.6,55,1732,5.2,5.22,3.26
"52527",0.5,"Ideal","F","IF",60.6,58,2529,5.13,5.16,3.12
"13601",0.9,"Ideal","G","VVS1",61.6,57,5564,6.24,6.16,3.82
"25645",1.51,"Ideal","G","VS1",61.1,57,14542,7.38,7.41,4.52
"49701",0.7,"VeryGood","I","SI1",62.2,55,2147,5.62,5.67,3.51
"28769",0.31,"Premium","E","VS2",61,59,680,4.35,4.37,2.66
"19920",1.5,"Good","J","VS1",64.1,55,8467,7.23,7.13,4.6
"15683",0.9,"VeryGood","E","VVS2",62.2,60,6289,6.04,6.12,3.78
"2674",0.71,"Ideal","E","VS1",62.7,57,3238,5.66,5.69,3.56
"36542",0.4,"Premium","F","SI1",62.3,57,945,4.74,4.67,2.93
"24421",1.58,"Ideal","F","SI1",61.6,55,12671,7.52,7.57,4.65
"19649",1.51,"Fair","H","SI1",65.8,62,8260,7.1,7.06,4.66
"52094",0.75,"Ideal","F","SI2",62.4,56,2458,5.84,5.79,3.63
"8007",1.01,"Premium","G","SI2",60.1,61,4327,6.6,6.55,3.95
"29987",0.32,"Ideal","F","VS1",61.9,57,716,4.38,4.41,2.72
"2907",0.8,"Good","G","VS1",63.2,60.1,3283,5.77,5.85,3.67
"32662",0.31,"Premium","H","VVS2",61.9,58,802,4.33,4.3,2.67
"19498",1.21,"Ideal","H","VVS2",61.3,57,8131,6.92,6.87,4.23
"43298",0.59,"Ideal","I","VS1",61.8,55,1401,5.41,5.43,3.35
"29011",0.34,"VeryGood","G","VS1",61.7,60,686,4.45,4.49,2.76
"23373",0.33,"Premium","D","SI2",60.7,56,631,4.46,4.43,2.7
"24434",1.65,"VeryGood","H","VS1",62,54,12686,7.55,7.62,4.7
"34238",0.4,"Premium","D","SI2",60.4,59,855,4.83,4.8,2.91
"870",0.7,"Ideal","D","SI1",61.4,54,2872,5.71,5.75,3.52
"46549",0.51,"Ideal","E","VS2",62.4,57,1781,5.13,5.1,3.19
"49532",0.6,"Premium","E","VS2",59.3,60,2124,5.51,5.46,3.25
"31295",0.32,"VeryGood","D","VS2",62.5,57,758,4.34,4.39,2.73
"29924",0.31,"Ideal","D","VS1",61.1,56,713,4.33,4.37,2.66
"16192",1.07,"Ideal","G","VS2",63,55,6471,6.55,6.5,4.11
"6557",0.9,"VeryGood","F","SI1",61.6,58,4074,6.12,6.26,3.81
"24437",2.01,"Premium","J","SI1",60.5,59,12690,8.12,8.01,4.88
"4319",0.9,"Good","E","SI2",64.1,58,3595,6.04,6.09,3.89
"22510",1.55,"VeryGood","H","VS2",63.3,56,10546,7.38,7.32,4.65
"1574",0.71,"Ideal","I","VVS2",60.7,57,3007,5.76,5.8,3.51
"51376",0.7,"VeryGood","I","VVS2",63,58,2367,5.64,5.69,3.57
"14391",0.3,"VeryGood","H","VVS2",62.8,57,605,4.22,4.25,2.66
"38569",0.42,"Ideal","H","VVS1",61.8,55,1035,4.85,4.8,2.98
"10668",0.9,"Ideal","F","VS2",62,56,4838,6.23,6.15,3.84
"28531",0.39,"Ideal","G","SI1",61,55,675,4.75,4.82,2.92
"39408",0.41,"Premium","F","VS1",58.6,61,1076,4.87,4.83,2.84
"18394",1.42,"Ideal","H","SI2",62.2,56,7475,7.21,7.16,4.47
"35116",0.3,"Ideal","F","IF",61.8,56,886,4.31,4.33,2.67
"38266",0.24,"Good","F","VS1",60.2,65,383,3.97,4,2.4
"45583",0.52,"Ideal","E","VS2",61.2,56,1689,5.16,5.23,3.18
"40558",0.41,"Ideal","G","VVS1",62,56,1151,4.78,4.8,2.97
"113",0.9,"Premium","I","VS2",63,58,2761,6.16,6.12,3.87
"14976",1.25,"Good","F","SI2",59,61,6032,7.01,7.06,4.15
"39816",0.4,"Ideal","G","VVS1",61.7,57,1097,4.71,4.74,2.91
"29165",0.33,"Fair","F","VVS2",65.7,54,693,4.37,4.3,2.85
"30302",0.3,"VeryGood","G","VS1",63.3,56,725,4.31,4.28,2.72
"12776",1.12,"Premium","G","SI1",59.8,58,5329,6.79,6.76,4.05
"51767",0.7,"VeryGood","D","SI1",61,59,2409,5.67,5.7,3.47
"34859",0.3,"Good","G","VVS2",63.6,57,878,4.3,4.26,2.72
"21676",1.21,"Premium","G","VVS2",61.3,56,9779,6.88,6.85,4.21
"39445",0.41,"Ideal","E","VS1",61.4,55,1076,4.84,4.8,2.96
"19459",2.01,"VeryGood","H","I1",61.7,63,8104,7.94,7.91,4.89
"12463",1.27,"Premium","I","SI2",61.4,59,5249,6.98,6.94,4.27
"42769",0.51,"Ideal","F","SI1",61.9,56,1346,5.11,5.16,3.18
"28207",0.38,"Ideal","G","SI1",61.3,56,666,4.63,4.67,2.85
"43387",0.55,"VeryGood","F","SI1",59.5,61,1410,5.28,5.41,3.18
"42945",0.3,"Premium","F","SI2",62.6,61,506,4.24,4.2,2.64
"50123",0.57,"Ideal","H","IF",61,57,2210,5.35,5.38,3.27
"36479",0.43,"Ideal","H","VVS2",61.3,56,943,4.86,4.9,2.99
"5959",0.9,"Good","F","SI1",63.3,60,3950,6.09,6.11,3.86
"25692",0.4,"VeryGood","E","SI2",62.1,60,644,4.65,4.69,2.9
"20292",0.91,"Ideal","D","VVS2",62,54,8707,6.2,6.25,3.86
"11630",1.01,"Good","G","VS2",60.2,65,5050,6.55,6.48,3.92
"4461",1.01,"Premium","H","SI2",60.1,58,3620,6.55,6.52,3.93
